id,product,certification,origin,uses,instructions_for_use,preserving_instruction,expiry
81,81,Chứng nhận hữu cơ tiêu chuẩn NASSA,Sản phẩm được đóng gói tại Malaysia,"Mè đen hữu cơ, còn gọi vừng đen, cung cấp vitamin E, vitamin B, kẽm, selen, đồng, sắt và canxi tốt cho hệ thống miễn dịch. Mè đen chứa ít carbs, giàu protein và chất béo lành mạnh nên có tác dụng hỗ trợ kiểm soát lượng đường trong máu, giúp da mịn màng, giảm viêm, hỗ trợ hình thành tế bào máu...","Rắc lên các món salad, mì, cơm nắm, sushi, xiên que. Thêm vào bột làm bánh mì, bánh quy, muffin. Làm chè mè đen hay nhân mè đen, sữa mè đen, nấu cháo mè đen gạo lứt","Rắc lên các món salad, mì, cơm nắm, sushi, xiên que. Thêm vào bột làm bánh mì, bánh quy, muffin. Làm chè mè đen hay nhân mè đen, sữa mè đen, nấu cháo mè đen gạo lứt",In trên bao bì
80,80,Chứng nhận hữu cơ tiêu chuẩn NASSA,Sản phẩm được đóng gói tại Malaysia,"Hạt hạnh nhân hữu cơ Health Paradise có độ giòn và thơm lừng. Hạnh nhân chứa các axit béo không bão hòa đơn lành mạnh và chất chống oxy hóa, giúp hỗ trợ sức khỏe tim mạch và ngăn ngừa các yếu tố của bệnh tim mạch. Ngoài ra, hạnh nhân còn có các khoáng chất dinh dưỡng quan trọng như magiê, đồng, mangan, canxi và kali. Với các chất dinh dưỡng có trong hạnh nhân, loại hạt này được xem là thực phẩm tốt cho não, da, hệ tiêu hóa và xương","Dùng trực tiếp như một món ăn vặt, rắc lên ngũ cốc, salad, nấu sữa, nghiền làm bột hạnh nhân, hoặc làm nguyên liệu nấu ăn, làm bánh...","Bảo quản nơi khô ráo, thoáng mát",In trên bao bì
79,79,Chứng nhận hữu cơ tiêu chuẩn EU và USDA,Sản phẩm được đóng gói tại Việt Nam,"Làm giảm cholesterol xấu: Hạt điều rất giàu chất béo. Đó có thể là lý do mọi người tránh ăn quá nhiều vì nghĩ nó có hại cho sức khỏe. Nhưng chuyên gia dinh dưỡng Neha Chandna (Ấn Độ) nhấn mạnh rằng hạt điều có chất béo tốt như axit béo omega và chất béo không bão hòa như axit oleic, rất tốt cho sức khỏe. Hạt điều cũng giúp giảm cholesterol xấu (LDL) trong cơ thể. “Cơ thể của chúng ta cần nhiều loại dưỡng chất từ các nhóm thức phẩm khác nhau, bao gồm cả chất béo. Để bổ sung nguồn chất béo tốt, bạn nên ăn hạt điều thay các loại thực phẩm chứa chất béo có hại”, chuyên gia này khuyến cáo.
Tăng cường sức khỏe xương, cơ bắp
Ngăn ngừa sâu răng: Hạt điều có chứa axit anacardic được chứng mình là rất hiệu quả trong việc tiêu diệt vi khuẩn gây sâu răng.
Giảm nguy cơ ung thư: Cùng với axit anacardic, hạt điều cũng cung cấp các chất chống oxy hóa như selen và vitamin E, giúp ngăn ngừa quá trình oxy hóa.
Điều chỉnh huyết áp: Hạt điều tự nhiên có một lượng natri thấp, trừ khi bạn ăn điều rang muối. Chúng cũng chứa kali, góp phần điều chỉnh huyết áp.
Phòng ngừa ung thư tốt: Đã có nhiều nghiên cứu cho biết, sử dụng hạt điều có thể làm giảm nguy cơ ung thư ruột kết. Với sự giàu có chất đồng cũng giúp cho hạt điều có thể loại bỏ được các phân tử gốc tự do. Bên cạnh đó, hạt điều còn giàu nguồn hóa học thực vật và các chất chống oxi hóa nên giúp bảo vệ tim cũng như ngừa ung thư","làm sữa, nước sốt hay chế biến nấu ăn
Mẹo: Cho hạt điều lên chảo, rang với lửa nhỏ trong 1-2 phút, hạt điều rang rất thơm ngon để dùng ngay","Bảo quản nơi khô ráo, thoáng mát, tránh ánh nắng trực tiếp",In trên bao bì
78,78,Chứng nhận hữu cơ tiêu chuẩn EU và USDA,Sản phẩm được đóng gói tại Việt Nam,"Hạt điều là một loại hạt giàu năng lượng, chứa nhiều thành phần dinh dưỡng quý. Hạt điều chứa ít chất béo nhất trong các loại hạt, trong đó phần lớn là chất béo tốt, đặc biệt là Omega-3, Omega-6 có lợi cho tim mạch và bảo vệ mắt. Ngoài ra, hạt điều còn giàu canxi, sắt, đồng, magie, mangan nên còn được xem là một trong những thực phẩm giàu khoáng chất",Dùng trực tiếp hoặc chế biến món ăn,"Nơi khô ráo thoáng mát, tránh ánh nắng trực tiếp",In trên bao bì
77,77,Chứng nhận hữu cơ tiêu chuẩn NASAA,Sản phẩm được đóng gói tại Malaysia,"Hạt bí là nguồn protein tuyệt vời, cung cấp protein, magie, sắt, kẽm, phốt pho, nhiều khoáng chất. Trytophan trong hạt bí giúp chống trầm cảm. Glutamete giúp giảm căng thẳng thần kinh. Kẽm trong hạt bí giúp tăng cường hệ miễn dịch. Phytosterol giúp giảm Choresterol LDL giảm tác nhân gây ung thư","Thêm vào món salad, làm bánh mì, đồ ăn nhẹ, món tráng miệng hoặc làm đồ nướng","Bảo quản nơi khô ráo, thoáng mát",In trên bao bì
76,76,Chứng nhận hữu cơ tiêu chuẩn USDA của Mỹ và EU của châu Âu,Sản phẩm được đóng gói tại Việt Nam,"Mè đen hữu cơ, còn gọi vừng đen, cung cấp vitamin E, vitamin B, kẽm, selen, đồng, sắt và canxi tốt cho hệ thống miễn dịch. Mè đen chứa ít carbs, giàu protein và chất béo lành mạnh nên có tác dụng hỗ trợ kiểm soát lượng đường trong máu, giúp da mịn màng, giảm viêm, hỗ trợ hình thành tế bào máu...","Rắc lên các món salad, mì, cơm nắm, sushi, xiên que. Thêm vào bột làm bánh mì, bánh quy, muffin. Làm chè mè đen hay nhân mè đen, sữa mè đen, nấu cháo mè đen gạo lứt","Bảo quản nơi khô ráo, thoáng mát",In trên bao bì
75,75,Sản phẩm được phát triển bởi cộng đồng dân tộc thiểu số tỉnh Quảng Nam với sự hỗ trợ từ Tổ chức Cứu trợ/ Phát triển Quốc Tế (FIDR) nhằm thúc đẩy phát triển nông thôn bền vũng,Đậu tây trắng được thu hoạch có chừng mực từ rừng hoặc được trồng từ giống thuần chủng địa phương và hoàn toàn không sử dụng hóa chất,"Đậu trắng có hàm lượng dinh dưỡng cao và đặt biệt rất giàu Vitamin. Trong 100 gram đậu trắng chứa 2.04 mg vitamin A, 14 mg vitamin C và một lượng nhỏ các vitamin nhóm B, và chỉ chứa 0.4 gram chất béo và khoảng 2.3 gram protein. Thành phần chất khoáng trong loại đậu này cũng khá cao và phong phú, trong đó Natri chiếm khoảng 320 mg, Kali 260 mg và chứa những chất khác như Canxi, Sắt, Magie, Photpho.
Công dụng đối với sức khỏe:
•	Phòng chống tiểu đường
•	Tốt cho tiêu hóa
•	Chống lão hoa
•	Giảm cân",Không rõ,Không rõ,Không rõ
74,74,Chứng nhận hữu cơ tiêu chuẩn ACO của Úc,Sản phẩm được sản xuất tại Ý,Không rõ,Sản phẩm được sản xuất tại Ý,"Khi chưa mở, bảo quản ở nơi khô ráo thoáng mát, tránh ánh nắng trực tiếp. Sau khi mở, bảo quản trong hộp đựng thực phẩm và để trong tủ lạnh, đồng thời dùng trong vòng 2 ngày",In trên bao bì
73,73,Chứng nhận hữu cơ tiêu chuẩn USDA,Sản phẩm được sản xuất tại Ấn Độ,"Đậ̣u xanh hữu cơ giàu dưỡng chất protein thực vật, chất xơ, chất chống oxy hóa và các vitamin C, E, B,... Nguyên liệu ”vàng” cho chế độ ăn uống lành mạnh, chìa khóa giúp cơ thể khỏe mạnh bên trong tươi trẻ bên ngoài","Nấu xôi chè, cháo, sữa, làm nhân bánh...","Bảo quản nơi khô thoáng, tránh ánh nắng trực tiếp",In trên bao bì
72,72,Chứng nhận hữu cơ NASAA,Được sản xuất tại Malaysia,Không rõ,"Dùng trong chế biến các món ăn
•	Cách đầu tiên là đun sôi đậu trong 2' rồi tắt lửa, đậy nắp lại và để yên trong 2h
•	Cách thứ 2 chỉ cần ngâm đậu gà trong nước trong một khoảng thời gian xác định","Nơi khô ráo, thoáng mát",24 tháng kể từ NSX
71,71,Chứng nhận hữu cơ tiêu chuẩn USDA của Mỹ và EU của châu Âu,Không rõ,"Đậu phộng chứa vitamin E, protein, khoáng chất như mangan, hỗ trợ cơ thể hấp thu canxi và ổn định đường huyết. Các dưỡng chất trong đậu phộng còn có tác dụng hỗ trợ kiểm soát hàm lượng cholesterol có trong máu. Đậu phộng thích hợp dùng làm nguyên liệu chế biến nhiều món ngon","Làm nguyên liệu nấu xôi chè, bơ đậu phộng, các món ngọt, món ăn vặt như đậu phộng rang nước mắm, đậu phộng cháy tỏi ớt...","Bảo quản nơi khô ráo, thoáng mát","Bảo quản nơi khô ráo, thoáng mát"
70,70,Canh tác theo hướng hữu cơ,Sản phẩm được đóng gói tại Việt Nam,"Đậu đỏ chứa hàm lượng chất chống oxy hóa cao, giúp bảo vệ cơ thể và ngăn ngừa lão hóa da sớm. Hàm lượng kali trong đậu đỏ giúp kiểm soát huyết áp. Đồng thời, nhờ hàm lượng chất xơ cao tạo cảm giác no lâu, giúp cải thiện hoạt động của dạ dày, đường ruột, giảm nguy cơ xơ vữa động mạch. Ngoài ra, đậu đỏ còn chứa các vitamin A, C, B1, B2, chất sắt giúp tế bào phát triển khỏe mạnh","Nấu xôi chè, súp, sữa, thạch đậu đỏ, cháo đậu đỏ, hay làm nhân bánh","Bảo quản nơi khô ráo, thoáng mát",In trên bao bì
69,69,Chứng nhận hữu cơ tiêu chuẩn USDA của Mỹ và tiêu chuẩn EU của Châu Âu,Lúa được trồng trên mô hình lúa vuông tôm tại Bến Tre,Không rõ,"Vo gạo bằng nước sạch. Ngâm gạo lứt bằng nước ấm khoảng 45 phút. Cho gạo và nước theo tỷ lệ 1:1,6 (Lượng nước có thể tuỳ chỉnh theo khẩu vị). Nấu khoảng 35 - 45 phút","Bảo quản nơi khô ráo, thoáng mát. Tránh ẩm ướt, mùi lạ, côn trùng, sâu bọ. Đậy kín sau khi mở bao",1 năm kể từ Ngày sản xuất
68,68,1 năm kể từ Ngày sản xuất,Sản phẩm được sản xuất tại Malaysia,"Yến mạch Cán mỏng Hữu cơ Health Paradise 500g là những hạt yến mạch hữu cơ được cán mỏng, có kết cấu mềm mịn khi dùng, rất dậy hương thơm, thích hợp với mọi đối tượng, nhất là em bé. Dùng yến mạch vào chế độ ăn hàng ngày đem lại nhiều lợi ích cho sức khỏe:
•	Làm giảm cholesterol.
•	Ổn định lượng đường trong máu.
•	Cải thiện hệ thống miễn dịch.
•	Beta-glucan tăng cường khả năng phòng thủ của hệ thống miễn dịch chống lại vi khuẩn, virus, nấm và ký sinh trùng.
•	Chất xơ từ ngũ cốc giúp chống ung thư vú",Dùng trong chế biến các món ăn. Chỉ cần thêm nước sôi hay lượng yến mạch mong muốn và đậy nắp trong vòng 5 phút rồi thưởng thức,"Bảo quản nơi khô ráo, thoáng mát, tránh ánh nắng trực tiếp",Xem trên bao bì
67,67,Chứng nhận hữu cơ tiêu chuẩn EU,Sản phẩm được sản xuất tại Ý,"Ngũ cốc Muesli hỗ trợ giảm cân, giảm nồng độ cholesterol trong máu ngăn ngừa bệnh tim mạch, kiểm soát lượng đường trong máy hỗ trợ điều trị tiểu đường.
Những lợi ích cho sức khoẻ:
•	Là một nguồn giàu chất xơ hòa tan và rất hữu ích trong việc làm giảm cholesterol.
•	Ăn kèm muesli với trái cây tươi giúp làm cho làn da khỏe mạnh và sáng bóng.
•	Muesli là một nguồn khoáng chất phong phú làm tăng sự trao đổi chất trong cơ thể.
•	Giàu canxi giúp hỗ trợ phòng loãng xương","Có nhiều cách để thưởng thức Muesli như ngâm qua đêm trong sữa lạnh hoặc nước táo, nước cam để Muesli mềm hơn; Hay chỉ đơn giản là dùng cùng sữa chua, sữa hạt.
Ngoài ra có thể ăn trực tiếp như là một món ăn vặt",Đậy kín và bảo quản nơi khô thoáng,In trên bao bì
66,66,Không rõ,Đặc sản vùng miền,"Nếp cái hoa vàng là giống lúa nếp truyền thống nổi tiếng tại các tỉnh đồng bằng va trung du Bắc Bộ, Việt Nam. Hạt gạo nếp tròn đầy, khi nấu chín hạt trong và ráo, mềm nhưng không nát, ăn vừa thơm nhẹ lại đậm đà","Dùng để nấu chè, cơm rượu, kết hợp với các loại đậu hạt để nấu xôi hoặc chế biến các loại bánh như bánh chưng, bánh ú, bánh tét, bánh ít, bánh khúc,...",Bảo quản nơi khô ráo thoáng mát,6 tháng sau ngày sản xuất
65,65,Đạt chứng nhận hữu cơ USDA của Mỹ,Hoa kỳ,"Yến mạch rất giàu vitamin A, B, C, sắt, canxi, kali, magie, omega 3. Có công dụng giúp giảm cân, giảm cholesterol, kiểm soát đường huyết, điều trị đái tháo đường, làm đẹp da, bảo vệ tim mạch, chống ung thư, giúp nhuận tràng, giảm tình trạng táo bón...","Bạn có thể dùng yến mạch cho bữa sáng nhẹ nhàng, chế biến thành các món cháo, bánh mì yến mạch, bánh bông lan yến mạch và nhiều món ngon khác","Bảo quản nơi khô ráo, thoáng mát","Bảo quản nơi khô ráo, thoáng mát"
64,64,"Chứng nhận hữu cơ tiêu chuẩn USDA của Mỹ, tiêu chuẩn EU của Châu Âu và tiêu chuẩn JAS của Nhật Bản",Lúa được trồng trên mô hình lúa vuông tôm tại Bến Tre,Không rõ,Vo gạo bằng nước sạch. Cho gạo và nước theo tỷ lệ 1:1 (Lượng nước có thể tuỳ chỉnh theo khẩu vị,"Bảo quản nơi khô ráo, thoáng mát. Tránh ẩm ướt, mùi lạ, côn trùng, sâu bọ. Đậy kín sau khi mở bao",1 năm kể từ Ngày sản xuất
63,63,Chứng nhận hữu cơ tiêu chuẩn EU của châu Âu,Sản phẩm của Pháp,"Mận khô là một loại thực phẩm được nhiều người biết đến vì có nhiều chất dinh dưỡng giúp ích cho sức khỏe của con người. Mận khô giàu chất xơ hòa tan, nhờ đó giúp điều tiết lượng đường trong máu và đem lại cảm giác no lâu. Mận khô cũng rất giàu chất chống oxy hóa, rất hữu ích để giảm viêm và bảo vệ các tế bào của khỏi bị hư hại. Ngoài ra, mận cũng chứa một số vitamin và khoáng chất như vitamin A tốt cho mắt, có tác dụng bảo vệ xương bao gồm vitamin K, phốt pho, magiê và kali","Dùng trực tiếp, hoặc dùng cùng yến mạch, sữa chua, kem. Làm nguyên liệu cho các món bánh hay món mặn","Bảo quản nơi khô ráo, thoáng mát. Tránh ánh nắng mặt trời. Sau khi mở túi, bảo quản ở ngăn mát tủ lạnh",In trên bao bì
62,62,"Chứng nhận hữu cơ USDA, chứng nhận hữu cơ EU",Sản phẩm được đóng gói tại Việt Nam,"Táo tàu khô có tính giữ nhiệt, vị cam, giàu chất dinh dưỡng, bởi chứa các thành phần như: protein, lipit, đường, can xi, phốt pho, sắt, và nhiều loại vitamin A, C, B1, B2, carotene….. nên mang đến nhiều giá trị về sức khỏe cho người sử dụng như tăng cường hệ hô hấp, giải độc, làm bổ trung khí, tốt cho hệ tiêu hóa... Đặc biệt tốt cho những người suy nhược cơ thể hay suy nhược thần kinh, cao huyết áo, khó tiêu, táo bón, người bị dị ứng da...","Táo tàu có thể dùng ăn liền, hay đun nước pha trà, nấu chè, chưng yến và ngâm rượu thuốc... Táo tàu khô hầm với gà cùng với kỷ tử, ý dĩ, hạt sen để có được món canh ngon bổ dưỡng","Bảo quản nơi khô ráo, thoáng mát. Tránh ánh nắng mặt trời. Sau khi mở túi và chưa dùng hết, nên cho vào hũ đậy kín và có thể để ở ngăn mát tủ lạnh",In trên bao bì
61,61,"Chứng nhận hữu cơ USDA, chứng nhận hữu cơ EU",Sản phẩm được đóng gói tại Việt Nam,"Các nghiên cứu hiện đại cho thấy, kỷ tử là một trong những vị thuốc có tác dụng dược lý rất phong phú:
•	Cải thiện và điều tiết công năng miễn dịch của cơ thể.
•	Nâng cao năng lực hoạt động của hệ thống nội tiết Hạ khâu não - Tuyến yên - Tuyến thượng thận.
•	Bảo vệ tế bào gan, ức chế sự lắng đọng chất mỡ trong gan, thúc đẩy quá trình tái sinh của tế bào gan.
•	Điều chỉnh rối loạn lipid máu, làm hạ cholesterol và làm chậm sự hình thành các mảng vữa xơ trong huyết quản.
•	Hạ đường huyết.
•	Làm giãn mạch và hạ huyết áp.
•	Thúc đẩy quá trình tạo huyết của tủy xương.
•	Chống ôxy hóa và làm chậm sự lão hóa.
•	Nâng cao sức chịu đựng của cơ thể trong điều kiện thiếu ôxy, phòng chống tích cực trạng thái mệt mỏi.
•	Chống phóng xạ và ức chế sự phát triển của tế bào ung thư...","Kỷ tử có thể dùng trực tiếp như trái cây sấy, pha trà, thêm vào ngũ cốc ăn sáng, chế biến món ăn... Kỷ tử hầm canh gà cùng với táo tàu và ý dĩ để có được món canh ngon bổ dưỡng","Bảo quản nơi khô ráo, thoáng mát. Tránh ánh nắng mặt trời. Sau khi mở túi và chưa dùng hết, nên cho vào hũ đậy kín và có thể để ở ngăn mát tủ lạnh",In trên bao bì
60,60,Đạt chứng nhận an toàn thực phẩm,Sản phẩm được sản xuất tại Thổ Nhĩ Kỳ,Không rõ,"Dùng trực tiếp,hoặc dùng để nấu soup, hoặc ngâm nước ấm để uống giúp hỗ trợ đường huyết rất tốt","Bảo quản nơi khô ráo, thoáng mát",In trên bao bì
59,59,Không rõ,Không rõ,"Long nhãn chính là bộ phận cùi của quả nhãn đã được bỏ hột và làm sạch, đem sấy khô sao để phần cùi nhãn không dính vào nhau mà vẫn mềm. Trong Đông y, long nhãn là một trong những thảo dược quý có nhiều công dụng chữa bệnh như trị táo bón, thiếu máu, mất ngủ, an thần. Còn đối với đời sống hàng ngày, long nhãn đã trở nên vô cùng quen thuộc trong các món ăn thức uống như chè, cháo, canh súp bổ dưỡng hay trà thảo dược","Ăn liền, chế biến món ăn, ngâm rượu hay chế biến thành các bài thuốc dân gian để cải thiện sức khỏe","Nơi khô ráo, thoáng mát, hoặc lưu giữ trong ngăn mát tủ lạnh",Không rõ
58,58,Chứng nhận hữu cơ theo tiêu chuẩn AsureQuality của New Zealand,Sản phẩm được sản xuất tại New Zealand,"Lợi ích sức khỏe tuyệt vời của hỗn hợp táo, kiwi và cải xoăn hữu cơ:
- Cải xoăn giàu chất xơ nhưng lại ít calo, giúp bạn no nhanh, no lâu, hỗ trợ giảm cân hiệu quả.
- Táo giàu pectin giúp loại bỏ độc tố, thanh lọc cơ thể hiệu quả.
- Kiwi giàu vitamin C và chất chống oxi hóa giúp cung cấp năng lượng, chống lão hóa và tăng cường hệ miễn dịch","- Ăn trực tiếp.
- Sinh tố.
- Dùng như đá viên trong món cocktail hoặc các loại thức uống có cồn.
- Thêm vào sữa chua hoặc bánh",Bảo quản trong tủ đông hoặc dưới -18 độ C,In trên bao bì
57,57,Chứng nhận hữu cơ theo tiêu chuẩn AsureQuality của New Zealand,Sản phẩm được sản xuất tại New Zealand,"Việt quất không chỉ có hương vị tuyệt vời mà còn có nhiều công dụng cho sức khỏe
- Giảm nguy cơ mắc bệnh béo phì, tiểu đường, tim mạch.
- Giúp làn da và mái tóc khỏe mạnh.
- Cung cấp năng lượng cho cơ thể và giữ gìn vóc dáng cân đối","- Ăn trực tiếp.
- Sinh tố.
- Dùng như đá viên trong món cocktail hoặc các loại thức uống có cồn.
- Thêm vào sữa chua hoặc bánh",Bảo quản trong tủ đông hoặc dưới -18 độ C,In trên bao bì
